address,avg_price,lat,long,review_count,shop_id,shop_name
 湖堤路388弄3号 ,115,30.93784,121.49671,126,H1totg7vuIO1vJoZ,二月livehouse
 四川北路989弄35号今潮8弄10号楼2楼10-106号 ,171,31.250601,121.484438,241,FkUn9f9wjkexvmUv,ARK LIVE HOUSE
 福建北路139号苏河湾万象天地西里LG1层121号商铺（nama cocoa内） ,181,31.242352,121.478042,295,Ga1dSGLImCb36qBZ,PLUTO
 联航路1818弄34号一层A座红星国际广场（浦顺路恒凯路入口、如家精选酒店对面） ,126,31.078496,121.511659,192,kaIFAcXK003zxNZH,Highland Pub鸡尾酒吧生啤精酿威士忌
 张杨路1500弄40号鄂尔多斯艾力大厦底商 ,129,31.233766,121.539076,289,G1EC1MMrC7EcZSlA,Rolling Wheels
" 广富林路658弄万达金街21号2F（万达7号门对面,中国联通旁边） ",123,31.057428,121.244698,124,G1i0x9K1SI67gYel,月见花酒廊Whisky&Cocktail Lounge
 银亭路58、60、66号第1幢2楼2C室 ,293,31.171325,121.375983,214,H5iEkMNFTlUJIwEr,MUSE 缪斯酒吧
 金汇南路118号07室 ,262,31.171971,121.37728,462,H8IxCuMcDPjMGYIL,MIAMI 迈阿密酒吧
 南丹东路207号 ,76,31.189658,121.439878,188,G3BrOOPRlweFpvgx,DG bar
 大学路280号302室 ,95,31.303408,121.507878,137,G1FqfQhliLPV34Kf,心碎男孩收容中心·24h
 博乐路东下塘街51号 ,93,31.384761,121.252421,519,l5g5v0K9ZQ2FToFr,TANGHUI BAR堂绘
 泰康路274弄15号后门（田子坊3号门尽头右侧） ,130,31.208174,121.468186,891,G6ZOhq2pqKbPUERm,Shadow&light Bar
 瑞虹路188号瑞虹天地·月亮湾2楼（棒约翰楼下） ,119,31.264781,121.498791,220,kajwItiULm6OXZQ1,Geographer地理学家酒馆Whisky&Cocktails
 申长路869号526、527、528室 ,111,31.192668,121.313263,134,H7yLUOYsMd6yIG2S,MIAMI 迈阿密酒吧
 锦秋路809弄72号汉庭酒店侧面巷子里50米 ,110,31.320798,121.386208,265,G6NJsN805J7MXeqZ,鸵鸟先生 Live House
 西藏中路90号6楼 ,199,31.230148,121.477808,86,H3jfk3I3OJK4Ab2C,OPUS lounge
 长寿公园长寿路与西康路交叉口 ,121,31.242421,121.439631,211,ka8jQdftw7bqrUND,Bar·蓉Whisky&Cocktail
 延安西路2088号睿珑广场A103 ,181,31.202429,121.408089,231,G21OJFiJ5iQ70CL6,SYARE&apos;S 洒落&apos;S whisky&cocktail
 成都南路106号（周二店休） ,101,31.221802,121.467551,585,l5XUIVy1ssJA8yxg,antisocial社恐研究站 Cocktail Bar
 银城路119号尚悦西街B1-11 ,141,31.242933,121.511603,249,H9MnoMmcMQKVIlrz,Blues’s Bistro
 中山南一路488号B座301-2 ,101,31.199031,121.483701,143,laHFbl0VIIL1He3y,Apex
 黄陂南路848号中海环宇荟一层L152 ,212,31.211262,121.477728,4220,G4zPfjBZ5ImxkpOH,1886·中国好声音Live House
 万航渡后路59号 ,151,31.229457,121.425597,343,kauETGFCpV3DCURd,NEOBRIDGE桥下酒馆
 蒙自东路27号友湾商业广场负一层117号（近蒙自路） ,159,31.207551,121.477691,379,H5lJUVRkEiZjLt4V,Sugary Cocktail&Whisky Bar
 古美路689号 ,150,31.147009,121.403909,260,k2aKbGmwxMTfRtN5,VESPER Whiskey & Cocktail Bar
 中春路地铁站6号口中春路8633弄27栋77号 ,123,31.150132,121.337462,302,k4k92p3PFvWKLvda,远方小酒馆
 淀山湖大道吾悦广场150弄16号206 ,90,31.144933,121.096263,82,Fo4z5YbKV89zhtzx,远方小酒馆
 番禺路390号-10号lope390商场2楼 ,161,31.203939,121.429889,417,k5TkKDctwZvWAaK6,Black Swan Whisky&Cocktail
 姚虹路85号(近吴中路) ,136,31.186685,121.408736,251,k7B23iATQDQc07vV,Way Back Bar
 新松江路1277号东鼎商务大厦主楼21楼2104号 ,120,31.038179,121.210269,156,G2VtlBdswdsktrhu,遇叁楼Whisky&Cocktail Bar
 泸定路388号第2层L2-41、42商铺 ,129,31.227202,121.389312,188,l222mEjdCaJIUsdV,大飲饮于肆whisky·Cocktail Bar
 灵石路699号26幢101室（灵石坊园区内第一家） ,117,31.283469,121.445004,169,H6Yn3olKGjONChYr,酒精當铺WHISKY COCKTAIL
 光星路万达广场金街115号2层小米售后服务楼上 ,118,31.058511,121.241891,249,l6UKLKVcuBQy3mal,遇叁楼Whisky&Cocktail Bar
 碧泉路108号1楼 ,101,31.110464,121.381894,183,l785DeLJn8UeQ8oa,TIAN TATTOO BAR
 襄阳北路108号 ,230,31.216623,121.456071,1895,l5xSg9o5gXVpW3de,FLASK
 大学路103号801（人生一串楼上8楼） ,123,31.304321,121.510821,441,G2auSQLHqfu98aEU,Nowhere
 中山南一路788号博荟广场购物中心B1层B1-2-A单元（不眠花园里） ,177,31.196688,121.479858,86,H4UIbhmlBANWsFjS,EZ5LiveHouse
 南昌路70号（靠近雁荡路） ,120,31.21944,121.46939,107,l7DeWeMbnSSLyNiA,Bedlam神经且慵懒
 莲花南路1500弄麦多生活广场16号106（距景西路地铁站4号口470米） ,52,31.097731,121.412481,66,G6TqYvAt5GjvYVG3,浅咖深酒coffee·craft·beer
 上南路3039号维也纳酒店大门左侧一层8室 ,108,31.162543,121.498333,128,k1TCppwFHYC2vy3b,500音里音乐酒馆
 美仁里成都南路126号 ,52,31.221341,121.467781,147,jnydHipSCdC4yx2i,126&公路商店
 奉贤路50号 ,215,31.232041,121.461931,293,H2ozawOEXDEbBxxq,CARTER
 南京西路931号上海凯世精品酒店1-2楼 ,367,31.229771,121.459301,276,H8G6oUUFihbAA37y,Forté
 东诸安浜路57号 ,240,31.218294,121.435814,589,k5gsySx2b9pwelWD,Vinism
 半淞园路647号-1楼（西藏南路和半淞园路交叉口） ,226,31.198078,121.492398,267,H2G4yDFWd5luIziz,P-CLUB·威士忌研究所
 浙桥路289弄碧云公馆3号楼（近金科路） ,149,31.25316,121.601808,171,k26bLJ5vtkQgQP6f,慢行旅酒廊
 陕西北路527号-1楼(近新闸路) ,148,31.231577,121.452227,1025,k5jG0wJX33P6XdFU,FRIDAY NIGHT COCKTAIL BAR
 西藏北路18号109-1 ,146,31.240938,121.472258,517,H8WQVVsnnuSdWPlB,苏醒Revive Bar&Restaurant
 法华镇路455-4号 ,127,31.204536,121.426576,104,kad5EPYpANL7MyoL,W•Light Bar
 张杨路588号光年汇4楼 ,160,31.227609,121.518739,167,k1XKe3C4GeRyYRbd,YM鹦鹉蓝bistro小酒馆
 江宁路495号博鸿大厦1F ,212,31.235079,121.451599,697,H3FB3gduXd2VCdKc,ibarrel bar&lounge爱杯
" 南京西路580号L-132（左侧内街内,邻便利蜂） ",254,31.231748,121.465718,512,l94fjFPai9Wqx2Kc,Hypnotic
 复兴中路1331号黑石公寓1楼（复兴中路1333弄进来左手边黑色雨棚） ,234,31.210914,121.452365,833,G6Sy9U13Cfcdpdey,BLACKSTONE EXCHANGE交换所在黑石
 永嘉路615号（永嘉路与乌鲁木齐南路交口） ,180,31.204359,121.448627,2272,GaUHEhymcSSVS4WT,BARBER SHOP
 思南路44号1楼、2楼（近思南公馆、近孙中山故居;1号线13号线淮海中路直达;停车:皋兰路停车场、香山中医医院停车场） ,168,31.216531,121.466951,311,l3Frpku63l6rRVMG,古董花园·酒馆 Antique Bar
 张杨路1500弄40号鄂尔多斯艾力大厦底商 ,129,31.233766,121.539076,289,G1EC1MMrC7EcZSlA,Rolling Wheels
 福建北路139号苏河湾万象天地西里LG1层121号商铺（nama cocoa内） ,181,31.242352,121.478042,295,Ga1dSGLImCb36qBZ,PLUTO
 泰康路274弄15号后门（田子坊3号门尽头右侧） ,130,31.208174,121.468186,891,G6ZOhq2pqKbPUERm,Shadow&light Bar
 瑞虹路188号瑞虹天地·月亮湾2楼（棒约翰楼下） ,119,31.264781,121.498791,220,kajwItiULm6OXZQ1,Geographer地理学家酒馆Whisky&Cocktails
 银亭路58、60、66号第1幢2楼2C室 ,293,31.171325,121.375983,214,H5iEkMNFTlUJIwEr,MUSE 缪斯酒吧
 四川北路989弄35号今潮8弄10号楼2楼10-106号 ,171,31.250601,121.484438,241,FkUn9f9wjkexvmUv,ARK LIVE HOUSE
 大学路280号302室 ,95,31.303408,121.507878,137,G1FqfQhliLPV34Kf,心碎男孩收容中心·24h
 申长路869号526、527、528室 ,111,31.192668,121.313263,134,H7yLUOYsMd6yIG2S,MIAMI 迈阿密酒吧
 金汇南路118号07室 ,262,31.171971,121.37728,462,H8IxCuMcDPjMGYIL,MIAMI 迈阿密酒吧
 博乐路东下塘街51号 ,93,31.384761,121.252421,519,l5g5v0K9ZQ2FToFr,TANGHUI BAR堂绘
 南丹东路207号 ,76,31.189658,121.439878,188,G3BrOOPRlweFpvgx,DG bar
 湖堤路388弄3号 ,115,30.93784,121.49671,126,H1totg7vuIO1vJoZ,二月livehouse
 联航路1818弄34号一层A座红星国际广场（浦顺路恒凯路入口、如家精选酒店对面） ,126,31.078496,121.511659,192,kaIFAcXK003zxNZH,Highland Pub鸡尾酒吧生啤精酿威士忌
" 广富林路658弄万达金街21号2F（万达7号门对面,中国联通旁边） ",123,31.057428,121.244698,124,G1i0x9K1SI67gYel,月见花酒廊Whisky&Cocktail Lounge
 锦秋路809弄72号汉庭酒店侧面巷子里50米 ,110,31.320798,121.386208,265,G6NJsN805J7MXeqZ,鸵鸟先生 Live House
 乌鲁木齐北路500号 ,72,31.217688,121.443542,84,k1uFFdwj3fMQr0cm,Jam’s Bar
 大沽路386号 ,146,31.225636,121.466056,764,k3hCHgn5PeYIy3vN,Base酒肆 Cocktail&Whisky
 大沽路386-1 ,113,31.225752,121.466032,192,jHBGHF7p7CnBvDkl,ONE WAY STREET精酿啤酒
 上坤路77弄20号(先番城)102室 ,117,31.163251,121.354981,133,jfe5g52zLwGIy5DZ,Orion猎户星座
 昌平路958号 ,117,31.233127,121.437537,215,l2qkFyju1ZQxQ7MT,Brainless 無惱 Bar·Bites
 国定路506号8幢103室 ,137,31.303151,121.506121,154,l9kBxh68lhV49fSA,Scorpions Bar 蝎毒
 汉口路422号101室 ,196,31.235578,121.482028,450,l3BSJpbiLBUPqIU8,TENDER BAR
 愚园路1086号 ,262,31.218928,121.428731,321,G9bRxJFeIe2Dres5,LivingWines
 陕西南路368号弄堂内1层 ,150,31.213915,121.460295,208,iQV34R3CnAYNrCZs,Key West·深巷
 进贤路169-4号 ,183,31.221385,121.459155,93,H114Q3Zg0fEP314L,PentHouse·雪茄·威士忌吧
 大学路199号302(乐乐茶对面3楼) ,97,31.303802,121.509332,177,G39jxfQbQE55eo7k,K MON GUYS 酒吧
 愚园路1398号B1楼（米域负一楼） ,144,31.219147,121.422167,181,H4HS4rdaiPVIgKvP,日月火蒙古酒吧
 金海路18号6号楼101（24小时书店对面） ,181,31.25632,121.60397,131,H63zg0bQ2c9n1shc,THE OLD MAN AND THE SEA BAR
 长乐路137号 ,129,31.221594,121.466972,565,l1le7B4yl4J7oZmd,未满WeMeet
 长乐路508号 ,170,31.220236,121.457226,228,HaA2sETz1bMOBzJK,NT-D 独角犀
 大学路90号801室（黑盐咖喱楼上8楼） ,93,31.304321,121.511051,126,k8s4YUHRgJ2LcF0o,LOST·迷
 长乐路342号 ,154,31.221354,121.462714,99,k6Jz0bRuzR7xTsnR,轟 HOME CAFE & BAR
 延安西路2088号睿珑广场A106 ,121,31.202257,121.407857,132,jvwUH8zTIwr3Twoz,LSG Cafe·Cocktail Bar
 先锋街66号阿拉城中庭2号楼1楼110室 ,87,31.177403,121.373617,74,H7k1n5dsLNwHVJed,SYMBEERS星啤士精酿
 大学路248号15楼1503号（刘栋梁大排档楼上） ,140,31.30376,121.50842,656,k709RgpPUyU5QkLp,隐士
 仙霞路158号 ,72,31.205796,121.402796,135,ieNQqB3jPIovHXA0,Tap That精酿啤酒屋
 定西路465号 ,150,31.20349,121.422854,112,k83EdkBD1MFzjGP3,CRUX  Espacio 十宇
 黄金城道699号1层 ,140,31.195061,121.400431,87,H8Qjae95QqKPi42v,TWINS Bar
 襄阳北路17号-1（襄乐大厦1楼-1、襄阳北路与巨鹿路交叉口南行200米路东） ,251,31.220029,121.454729,2071,G43BnjVIZC2SDrDZ,Project W 威士忌·鸡尾酒
 兴义路新世纪广场48号B座（荣新馆1号店和2号店中间） ,126,31.204457,121.404257,75,H5KL1JuRdE0aLimy,DREAM Whisky&Cocktail Bar
 北京西路553-3、553-4号7 ,217,31.233346,121.463156,203,k6nNEdAB6S8K2BWM,多士士多 Door&apos;s Store
 建国中路155弄25号 ,86,31.208279,121.468249,319,H7OnuAv9XQXhg3G3,Friends Bar 朋友酒吧
 富民路47号 ,177,31.221546,121.450116,121,l6fE9EFThu0oKKjC,Black Rock·Whisky·Cocktail
 昌化路46号二楼 ,210,31.234622,121.455081,369,GaK3ZRm4sUw7LUBZ,Black Note 黑胶唱片爵士酒吧
 长乐路421号 ,58,31.218782,121.454553,191,H6TrLIj9IR4XtzOm,公路商店
 大学路199号创智坊601室 ,158,31.30411,121.50936,262,k2ZRE6dAFOI26bJB,Seven·二次元助教桌游酒吧
 富民路83号 ,568,31.220683,121.450426,323,G6ZZydz75w5MThCV,MINING WHISKY CLUB
 康定路358号4号楼102-103室 ,258,31.235431,121.450051,124,l6NKQ2ELyHiwFPLx,葡道
 黄陂南路720号 ,156,31.213772,121.477003,434,l5Mt2S6k9pjTNFAE,Bar Straight
